**Laura Lattuada;Nel 1981 l'attrice è protagonista dello sceneggiato televisivo "Storia di Anna" dove interpreta...;Una studentessa diligente;Una tossicodipendente impenitente;Una casalinga di pessima qualità;2
**Clint Eastwood;Attore, regista, produttore cinematografico è stato anche politico con la carica di...;Governatore;Sindaco;Senatore;2
**Locuzioni;Dare l'aut aut significa...;Obbligare a scegliere tra due cose;Invitare ad uscire;Annunciare;1
Abbaia la campagna ...;È un verso di quale canzone di Paolo Conte?;Bartali;Genova per noi;Azzurro;1
Abete;La forma delle sue foglie è...;Ellittica;Aghiforme;Ovata;2
Abissinia;Era l'antico nome di...;Eritrea;Etiopia;Somalia;2
Abitazione;È un bene...;Mobile;Mobile registrato;Immobile;3
Accidia;La persona accidiosa è...;Invidiosa;Pigra;Operosa;2
Adelchi;Era il re dei...;Goti;Unni;Longobardi;3
Affitto;È sinonimo di...;Donazione;Locazione;Adozione;2
Africa;Il Kilimangiaro è un vulcano con...;Un cratere;Due crateri;Tre crateri;3
Agamennone;Era fratello di...;Menelao;Achille;Clitemnestra;1
Agguato;È caratterizzato da...;Uso di armi;Forza;Inganno;3
Agnolotto;È...;Un piccolo agnello;Un anello;Un tipo di pasta;3
Alberto Bevilacqua;È stato uno scrittore originario di...;Parma;Bologna;Roma;1
Alberto Lattuada;È stato un...;Regista;Musicista;Giornalista;1
Alce;Le corna dell'alce, dette palco, cadono e ricrescono...;Ogni anno;Ogni due anni;Ogni cinque anni;1
Alcide De Gasperi;È stato il fondatore del partito...;Socialista;Democrazia Cristiana;Comunista;2
Alessandro Baricco;È l'autore del romanzo...;L'amico ritrovato;Il buio oltre la siepe;Seta;3
Alessandro Preziosi;L'attore è nato a...;Palermo;Treviso;Napoli;3
Alessandro Volta;Oltre che inventore della pila, è stato...;Scopritore del gas metano;Scopritore delle radiazioni;Inventore del pantografo;1
Aliante;Velivolo dotato di...;Motore a scoppio;Motore a idrogeno;Nessun motore;3
Alta marea;Autore della canzone è Antonello Venditti il quale ha scritto...;Testo;Musica;Entrambi;1
Amleto;La tragedia di Shakespeare è ambientata in...;Inghilterra;Norvegia;Danimarca;3
Android;È un...;Sistema operativo;App;Videogioco;1
Anna Frank;È famosa per...;La carriera politica;Il suo diario;Le scoperte scientifiche;2
Annibale Barca;Il condottiero cartaginese è famoso per aver attaccato Roma...;Per mare con navi veloci;Attraverso i Pirenei con elefanti;Attraverso i balcani con leoni;2
Anolini;Sono un tipo di...;Lana;Pasta;Funghi;2
Anticiclone;È una zona atmosferica con pressione...;Bassa;Media;Alta;3
Antonio Segni;È stato …;Presidente della Repubblica;Capo del Governo;Entrambi;3
Apostoli;Pietro e Andrea erano;Fratelli;Cugini;Non consanguinei;1
Apple;Azienda americana che produce...;Software;Automobili;Entrambi;1
Aristotele;Era un...;Condottiero;Medico;Filosofo;3
Armamento;Significa...;Complesso di armi;Complesso di congegni;Entrambi;3
Armi convenzionali;Sono armi...;Nucleari;A capacità distruttiva minore e selettiva;Frutto di convenzioni internazionali;2
Astrid;Nome diffuso nei Paesi Bassi e Scandinavia che significa...;Nata dagli dei;Amata dagli dei;Figlia degli dei;2
Atleta;Quale dei seguenti non è un atleta?;Usain Bolt;Michael Phelps;Antonino Zichichi;3
Atletica;Quale delle seguenti discipline non ne fa parte?;Tiro a segno;Matematica;Nuoto;2
Australia;La sua capitale è...;Canberra;Sydney;Melbourne;1
Automobile;Per la sua guida è richiesta la patente di tipo...;A;B;C;2
Avocado;È un...;Pittore;Scultore;Frutto;3
Ayrton Senna;Pilota di Formula 1, era di nazionalità...;Italiana;Francese;Brasiliana;3
Azione;In una società di capitali S.p.A. è la unità minima di...;Utili;Partecipazione;Guadagno;2
Azzorre;Le isole sono territorio di...;Spagna;Portogallo;Marocco;2
Azzurro;Autore della famosa canzone è …;Adriano Celentano;Paolo Conte;Domenico Modugno;2
Babbo Natale;La sua slitta è trainata da...;Renne;Cervi;Alci;1
Baluginio;Ha come sinonimi riverbero, riflesso, scintillio?;Sì;Solo due sono sinonimi;Uno solo è sinonimo;1
Banana;Ha un contenuto di potassio...;Basso;Medio;Alto;3
Barbara D'Urso;Il suo vero nome è...;Maria Consuelo;Maria Carmela;Maria Francesca;2
Barrito;È il verso di quale animale?;Cavallo;Asino;Elefante;3
Battaglia di Pearl Harbor;Fu uno scontro fra Stati Uniti d'America e...;Germania;Russia;Giappone;3
Belletto;Cosa significa?;Persona di bell'aspetto;Preparato per la cosmesi;Arma da guerra;2
Belluno;È una provincia della regione...;Lombardia;Veneto;Friuli Venezia Giulia;2
Benjamin Franklin;È stato inventore di...;Lampadina elettrica;Parafulmine;Lampione a gas;2
